District Name,Police Unit,Village Area Name,Beat Name,Total Crimes per beat,Sanctioned Strength of Assistant Sub-Inspectors per District,Sanctioned Strength of Head Constables per District,Sanctioned Strength of Police Constables per District,Normalised Crime Severity
"SP, BAGALKOTE",Amengad PS,KAMATAGI,RURAL BEAT NO 13,140.0,111,331,660,0.005666435811874331
"SP, BAGALKOTE",Amengad PS,SULEBAVI,RURAL BEAT NO 6,101.0,111,331,660,0.004910911036957753
"SP, BAGALKOTE",Amengad PS,MADAPUR,RURAL BEAT NO 16,123.0,111,331,660,0.005351633822325757
"SP, BAGALKOTE",Amengad PS,AMINAGAD,AMINAGAD TOWN BEAT NO 1,294.0,111,331,660,0.006862683372158912
"SP, BAGALKOTE",Amengad PS,AIHOLE,RURAL BEAT NO 3,142.0,111,331,660,0.004155386262041176
"SP, BAGALKOTE",Amengad PS,DAMMUR,OP RURAL BEAT NO 28,78.0,111,331,660,0.003903544670402317
"SP, BAGALKOTE",Amengad PS,GUDUR,GUDUR TOWN BEAT NO 21,137.0,111,331,660,0.005981237801422905
"SP, BAGALKOTE",Amengad PS,UPANAL,GUDUR OP BEAT NO 24,85.0,111,331,660,0.004155386262041176
"SP, BAGALKOTE",Amengad PS,KAMATAGI ONE,RURAL BEAT NO 11,66.0,111,331,660,0.0037146634766731727
"SP, BAGALKOTE",Amengad PS,BASARIKATTI,RURAL BEAT NO 14,2.0,111,331,660,0.00044072278536800354
"SP, BAGALKOTE",Amengad PS,KYADIGERI,RURAL BEAT NO 5,5.0,111,331,660,0.0006296039790971479
"SP, BAGALKOTE",Amengad PS,MURUDI,GUDUR OP BEAT NO 23,25.0,111,331,660,0.0022665743247497322
"SP, BAGALKOTE",Amengad PS,DAMMUR,GUDUR OP RURAL BEAT NO 29,6.0,111,331,660,0.0010703267644651515
"SP, BAGALKOTE",Amengad PS,CHIKKAMAGI,RURAL BEAT NO 15,8.0,111,331,660,0.0017628911414720142
"SP, BAGALKOTE",Amengad PS,BASANAL,RURAL BEAT NO 20,8.0,111,331,660,0.0008814455707360071
"SP, BAGALKOTE",Amengad PS,RAMATHAL,RURAL BEAT NO 10,33.0,111,331,660,0.00302209909966631
